Process	CPU	Private Bytes	PID	Working Set	Description	Company Name	User Name	Command Line
System Idle Process	77.00	0 K	0	24 K			NT AUTHORITY\SYSTEM	
System	0.38	172 K	4	2,312 K			NT AUTHORITY\SYSTEM	
 Interrupts	1.23	0 K	n/a	0 K	Hardware Interrupts and DPCs			
 smss.exe		584 K	416	412 K	Windows Session Manager	Microsoft Corporation	NT AUTHORITY\SYSTEM	\SystemRoot\System32\smss.exe
csrss.exe	< 0.01	4,384 K	556	2,832 K	Client Server Runtime Process	Microsoft Corporation	NT AUTHORITY\SYSTEM	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
wininit.exe		1,692 K	648	240 K	Windows Start-Up Application	Microsoft Corporation	NT AUTHORITY\SYSTEM	wininit.exe
 services.exe	< 0.01	13,748 K	712	10,676 K	Services and Controller app	Microsoft Corporation	NT AUTHORITY\SYSTEM	C:\windows\system32\services.exe
  svchost.exe	0.05	6,640 K	840	5,672 K	Host Process for Windows Services	Microsoft Corporation	NT AUTHORITY\SYSTEM	C:\windows\system32\svchost.exe -k DcomLaunch
   WmiPrvSE.exe	< 0.01	15,516 K	3728	6,288 K	WMI Provider Host	Microsoft Corporation	NT AUTHORITY\SYSTEM	C:\windows\system32\wbem\wmiprvse.exe
   unsecapp.exe		1,852 K	4036	1,552 K	Sink to receive asynchronous callbacks for WMI client application	Microsoft Corporation	NT AUTHORITY\SYSTEM	C:\windows\system32\wbem\unsecapp.exe -Embedding
   WmiPrvSE.exe		5,796 K	4384	3,428 K	WMI Provider Host	Microsoft Corporation	NT AUTHORITY\SYSTEM	C:\windows\sysWOW64\wbem\wmiprvse.exe
   AcDeskBandHlpr.exe		5,828 K	5400	5,304 K	Access Connections Deskband Helper Module	Lenovo	CORPORATE\agoenka	"C:\Program Files (x86)\Lenovo\Access Connections\AcDeskBandHlpr.exe" -Embedding
   WmiPrvSE.exe		3,660 K	7576	4,140 K	WMI Provider Host	Microsoft Corporation	NT AUTHORITY\SYSTEM	C:\windows\sysWOW64\wbem\wmiprvse.exe
   UcMapi.exe	< 0.01	13,744 K	13544	11,528 K	Microsoft Lync	Microsoft Corporation	CORPORATE\agoenka	"C:\Program Files\Microsoft Office\Office15\UcMapi.exe" -Embedding
   lynchtmlconv.exe		23,108 K	8420	19,508 K	Microsoft Lync	Microsoft Corporation	CORPORATE\agoenka	"C:\Program Files\Microsoft Office\Office15\lynchtmlconv.exe" -Embedding
   WmiPrvSE.exe		10,900 K	13140	11,656 K	WMI Provider Host	Microsoft Corporation	NT AUTHORITY\NETWORK SERVICE	C:\windows\system32\wbem\wmiprvse.exe
  ibmpmsvc.exe		1,540 K	904	1,316 K	ThinkPad Power Management Service	Lenovo.	NT AUTHORITY\SYSTEM	C:\windows\system32\ibmpmsvc.exe
  nvvsvc.exe		3,584 K	944	3,256 K	NVIDIA Driver Helper Service, Version 312.69	NVIDIA Corporation	NT AUTHORITY\SYSTEM	"C:\windows\system32\nvvsvc.exe"
   nvxdsync.exe		11,908 K	1520	8,876 K	NVIDIA User Experience Driver Component	NVIDIA Corporation	NT AUTHORITY\SYSTEM	"C:\Program Files\NVIDIA Corporation\Display\nvxdsync.exe"
   nvvsvc.exe	< 0.01	7,536 K	2184	3,824 K	NVIDIA Driver Helper Service, Version 312.69	NVIDIA Corporation	NT AUTHORITY\SYSTEM	C:\windows\system32\nvvsvc.exe -session -first
  nvSCPAPISvr.exe		2,856 K	968	1,748 K	Stereo Vision Control Panel API Server	NVIDIA Corporation	NT AUTHORITY\SYSTEM	"C:\Program Files (x86)\NVIDIA Corporation\3D Vision\nvSCPAPISvr.exe"
  svchost.exe	0.01	14,284 K	1020	8,772 K	Host Process for Windows Services	Microsoft Corporation	NT AUTHORITY\NETWORK SERVICE	C:\windows\system32\svchost.exe -k RPCSS
  svchost.exe	0.03	23,040 K	564	14,224 K	Host Process for Windows Services	Microsoft Corporation	NT AUTHORITY\LOCAL SERVICE	C:\windows\System32\svchost.exe -k LocalServiceNetworkRestricted
   audiodg.exe		16,708 K	13160	16,992 K	Windows Audio Device Graph Isolation 	Microsoft Corporation	NT AUTHORITY\LOCAL SERVICE	C:\windows\system32\AUDIODG.EXE 0x77c
  svchost.exe		18,696 K	596	7,552 K	Host Process for Windows Services	Microsoft Corporation	NT AUTHORITY\SYSTEM	C:\windows\System32\svchost.exe -k LocalSystemNetworkRestricted
