Process	PID	CPU	Image Type	User Name	Description	Company Name	Private Bytes History	Private Bytes	Working Set	Command Line	Start Time
devenv.exe	3812	0.73	32-bit	CORPORATE\agoenka	Microsoft Visual Studio 2010	Microsoft Corporation		514,752 K	600,416 K	"C:\Program Files (x86)\Microsoft Visual Studio 10.0\Common7\IDE\devenv.exe" /SafeMode	7:50:51 AM 07/11/2014
firefox.exe	1312	0.03	32-bit	CORPORATE\agoenka	Firefox	Mozilla Corporation		535,220 K	503,248 K	"C:\Program Files (x86)\Mozilla Firefox\firefox.exe" 	7:42:43 AM 07/11/2014
OUTLOOK.EXE	7412	8.38	64-bit	CORPORATE\agoenka	Microsoft Outlook	Microsoft Corporation		302,120 K	343,548 K	"C:\Program Files\Microsoft Office\Office15\OUTLOOK.EXE" 	7:40:36 AM 07/11/2014
Ssms.exe	2928	0.03	32-bit	CORPORATE\agoenka	SQL Server Management Studio	Microsoft Corporation		252,092 K	284,700 K	"C:\Program Files (x86)\Microsoft SQL Server\110\Tools\Binn\ManagementStudio\Ssms.exe"  -s 10.143.102.177 -d works -u sa -p Computer#1 -nosplash	4:56:56 PM 07/11/2014
lync.exe	9592	< 0.01	64-bit	CORPORATE\agoenka	Microsoft Lync	Microsoft Corporation		174,792 K	223,636 K	"C:\Program Files\Microsoft Office\Office15\lync.exe" 	2:44:41 PM 07/11/2014
svchost.exe	1540		64-bit	NT AUTHORITY\LOCAL SERVICE	Host Process for Windows Services	Microsoft Corporation		224,752 K	214,900 K	C:\windows\system32\svchost.exe -k LocalServiceNoNetwork	7:38:26 AM 07/11/2014
WINWORD.EXE	6496		64-bit	CORPORATE\agoenka	Microsoft Word	Microsoft Corporation		149,580 K	158,764 K	"C:\Program Files\Microsoft Office\Office15\WINWORD.EXE" 	9:40:08 AM 07/11/2014
sqlservr.exe	2864	0.03	64-bit	NT SERVICE\MSSQLSERVER	SQL Server Windows NT - 64 Bit	Microsoft Corporation		360,100 K	144,096 K	"C:\Program Files\Microsoft SQL Server\MSSQL11.MSSQLSERVER\MSSQL\Binn\sqlservr.exe" -sMSSQLSERVER	7:38:28 AM 07/11/2014
csrss.exe	676	0.21	64-bit	NT AUTHORITY\SYSTEM	Client Server Runtime Process	Microsoft Corporation		4,196 K	130,848 K	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	7:38:25 AM 07/11/2014
explorer.exe	3044	0.06	64-bit	CORPORATE\agoenka	Windows Explorer	Microsoft Corporation		125,284 K	108,848 K	C:\windows\Explorer.EXE	7:38:29 AM 07/11/2014
chrome.exe	5652	0.07	32-bit	CORPORATE\agoenka	Google Chrome	Google Inc.		98,704 K	97,688 K	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" 	8:07:39 AM 07/11/2014
chrome.exe	3964		32-bit	CORPORATE\agoenka	Google Chrome	Google Inc.		80,432 K	83,684 K	"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe" --type=gpu-process --channel="5652.0.2095664941\1082574600" --disable-d3d11 --supports-dual-gpus=false --gpu-driver-bug-workarounds=1,5,15 --gpu-vendor-id=0x8086 --gpu-device-id=0x0126 --gpu-driver-vendor="Intel Corporation" --gpu-driver-version=9.17.10.3062 --ignored=" --type=renderer " /prefetch:822062411	8:07:39 AM 07/11/2014
dwm.exe	2992	0.30	64-bit	CORPORATE\agoenka	Desktop Window Manager	Microsoft Corporation		52,088 K	80,640 K	"C:\windows\system32\Dwm.exe"	7:38:28 AM 07/11/2014
